gen;best;avg;worst
382;8311;8573;12378
383;8311;8618;12922
384;8311;8618;12138
385;8311;8631;12494
386;8311;8591;11319
387;8311;8634;11803
388;8311;8666;12613
389;8311;8641;14413
390;8311;8658;12710
391;8311;8626;11322
392;8311;8630;11962
393;8311;8622;11214
394;8311;8614;12131
395;8311;8627;12324
396;8311;8631;11641
397;8311;8683;12422
398;8311;8659;11650
399;8311;8676;12572
400;8311;8663;12070
401;8311;8705;13314
402;8311;8691;13581
403;8311;8658;12686
404;8311;8690;13715
405;8311;8687;12320
406;8311;8666;12420
407;8311;8657;12157
408;8311;8658;12505
409;8311;8639;11828
410;8311;8626;12033
411;8311;8590;11394
412;8311;8618;13407
413;8311;8581;11624
414;8311;8577;12816
415;8311;8584;13666
416;8311;8595;11057
417;8311;8595;11584
418;8311;8621;13579
419;8311;8560;11977
420;8311;8584;13467
421;8311;8585;12471
422;8311;8598;11976
423;8311;8613;11630
424;8311;8587;11299
425;8311;8581;11057
426;8311;8576;12424
427;8311;8619;13303
428;8311;8656;12883
429;8311;8625;12138
430;8311;8580;12382
431;8311;8585;13645
432;8311;8648;12105
433;8311;8632;12699
434;8311;8608;12453
435;8311;8599;11978
436;8311;8585;11682
437;8311;8607;11487
438;8311;8595;11676
439;8311;8587;12181
440;8311;8615;11794
441;8309;8632;11558
442;8309;8617;11559
443;8309;8606;11801
444;8309;8621;11869
445;8309;8595;11571
446;8309;8625;12480
447;8309;8628;12517
448;8309;8653;11882
449;8309;8669;12571
450;8309;8601;12414
451;8309;8614;12687
452;8309;8608;11749
453;8309;8582;12104
454;8309;8609;13494
455;8309;8617;12693
456;8309;8633;12001
457;8309;8693;12376
458;8309;8723;14951
459;8309;8727;13722
460;8309;8778;12838
461;8117;8807;12269
462;8117;8789;12221
463;8117;8775;13057
464;8117;8693;13602
465;8117;8624;12566
466;8117;8508;12328
467;8117;8462;12211
468;8117;8504;11789
469;8117;8509;12239
470;8117;8486;12437
471;8117;8464;12222
472;8117;8458;11926
473;8117;8444;13787
474;8117;8423;12961
475;8117;8447;12192
476;8117;8467;12635
477;8117;8519;12798
478;8117;8470;11732
479;8117;8429;12126
480;8117;8430;11702
481;8117;8443;11577
482;8117;8483;11865
483;8117;8453;11994
484;8117;8445;11898
485;8117;8473;12363
486;8117;8478;12044
487;8117;8474;11548
488;8117;8472;11396
489;8117;8540;12357
490;8117;8515;12820
491;8117;8490;11664
492;8117;8573;12654
493;8117;8499;11357
494;8117;8454;12091
495;8117;8426;11654
496;8117;8462;12639
497;8117;8432;11167
498;8117;8423;11152
499;8117;8467;11758
500;8117;8410;11972
501;8117;8407;12499
502;8117;8427;13533
503;8117;8405;12013
504;8117;8361;11373
505;8117;8378;11798
506;8117;8396;12993
507;8117;8410;11746
508;8117;8397;11243
509;8117;8382;11309
510;8117;8396;12237
511;8117;8406;12059
512;8117;8392;14157
513;8117;8386;11107
514;8117;8385;12178
515;8117;8358;10580
516;8117;8391;12178
517;8117;8429;14167
518;8117;8413;14371
519;8117;8348;10957
520;8117;8349;12897
521;8117;8369;11590
522;8117;8409;12106
523;8117;8370;12375
524;8117;8349;10884
525;8117;8388;12675
526;8117;8381;12574
527;8117;8372;11541
528;8117;8401;11481
529;8117;8422;11736
530;8117;8391;12437
531;8117;8432;10919
532;8117;8418;11388
533;8117;8429;11465
534;8117;8426;11906
535;8117;8385;10753
536;8117;8386;12724
537;8117;8435;11839
538;8117;8425;11389
539;8117;8359;11449
540;8117;8383;11735
541;8117;8395;11605
542;8117;8370;11371
543;8117;8402;11532
544;8117;8385;11744
545;8117;8399;12018
546;8117;8426;11391
547;8117;8409;11640
548;8117;8362;10957
549;8117;8342;11344
550;8117;8345;11149
551;8117;8360;11165
552;8117;8364;11532
553;8117;8359;10849
554;8117;8379;12665
555;8117;8347;11315
556;8117;8373;12678
557;8117;8362;11073
558;8117;8366;11170
559;8117;8373;12957
560;8117;8354;11930
561;8117;8388;11846
562;8117;8405;11875
563;8117;8404;11835
