num;best;avg;worst
431;39;19932;249
432;39;19977;256
433;39;20002;202
434;39;20047;231
435;39;20111;188
436;39;20157;236
437;39;20202;250
438;39;20247;252
439;39;20291;195
440;39;20336;272
441;39;20380;194
442;39;20428;241
443;39;20472;188
444;39;20516;199
445;39;20558;236
446;39;20602;234
447;39;20645;253
448;39;20689;210
449;39;20733;231
450;39;20778;233
451;39;20803;242
452;39;20868;183
453;39;20913;232
454;39;20959;295
455;39;21004;209
456;39;21029;231
457;39;21096;225
458;39;21141;306
459;39;21164;224
460;39;21230;231
461;39;21276;178
462;39;21321;294
463;39;21367;237
464;39;21413;206
465;39;21460;251
466;39;21485;242
467;39;21530;231
468;39;21597;200
469;39;21644;190
470;39;21692;206
471;39;21714;202
472;39;21759;183
473;39;21825;199
474;39;21868;183
475;39;21914;232
476;39;21958;192
477;39;22003;190
478;39;22047;231
479;39;22092;176
480;39;22137;210
481;39;22182;231
482;39;22206;214
483;39;22276;237
484;39;22322;248
485;39;22345;238
486;39;22411;195
487;39;22432;242
488;39;22499;185
489;39;22543;221
490;39;22565;231
491;39;22631;163
492;39;22676;206
493;39;22721;188
494;39;22743;187
495;39;22811;247
496;39;22834;242
497;39;22879;176
498;39;22946;254
499;39;22993;234
500;39;23037;188
501;39;23082;189
502;39;23125;226
503;39;23146;210
504;39;23189;197
505;39;23255;231
506;39;23300;242
507;39;23345;247
508;39;23391;265
509;39;23413;236
510;39;23480;220
511;39;23523;253
512;39;23544;290
513;39;23588;242
514;39;23654;197
515;39;23700;254
516;39;23745;195
517;39;23791;185
518;39;23810;181
519;39;23879;201
520;39;23902;197
521;39;23972;249
522;39;24016;247
523;39;24060;156
524;39;24080;197
525;39;24149;272
526;39;24168;242
527;39;24235;209
528;39;24280;304
529;39;24325;212
530;39;24345;290
531;39;24415;244
532;39;24460;218
533;39;24506;212
534;39;24550;273
535;39;24571;188
536;39;24639;208
537;39;24683;200
538;39;24726;154
539;39;24770;183
540;39;24788;171
541;39;24856;307
542;39;24876;249
543;39;24945;218
544;39;24989;293
545;39;25009;197
546;39;25079;197
547;39;25125;231
548;39;25170;190
549;39;25190;236
550;39;25234;185
551;39;25304;208
552;39;25349;224
553;39;25392;204
554;39;25435;208
555;39;25481;188
556;39;25526;206
557;39;25571;241
558;39;25615;242
559;39;25658;193
560;39;25705;194
561;39;25749;221
562;39;25793;196
563;39;25839;192
564;39;25886;253
565;39;25932;197
566;39;25976;237
567;39;26021;238
568;39;26068;188
569;39;26088;245
570;39;26159;245
571;39;26206;242
572;39;26252;253
573;39;26270;242
574;39;26341;221
575;39;26357;185
576;39;26427;221
577;39;26471;185
578;39;26516;224
579;39;26561;233
580;39;26607;236
581;39;26653;225
582;39;26697;226
583;39;26741;248
584;39;26787;254
585;39;26831;224
586;39;26849;286
587;39;26922;286
588;39;26967;220
589;39;27011;191
590;39;27054;156
591;39;27098;236
592;39;27120;236
593;39;27192;218
594;39;27237;216
595;39;27253;191
596;39;27324;190
597;39;27341;254
598;39;27414;207
599;39;27457;249
600;39;27500;272
601;39;27543;175
602;39;27586;206
603;39;27631;204
604;39;27646;206
605;39;27719;200
606;39;27762;195
607;39;27807;243
608;39;27851;253
609;39;27868;260
610;39;27913;253
611;39;27986;256
612;39;28030;231
613;39;28074;206
614;39;28092;208
615;39;28137;198
616;39;28183;224
617;39;28256;242
618;39;28272;190
619;39;28345;231
620;39;28390;201
621;39;28433;146
622;39;28477;188
623;39;28493;272
624;39;28564;193
625;39;28608;193
626;39;28652;162
627;39;28697;197
628;39;28742;197
629;39;28786;242
630;39;28830;213
631;39;28845;194
632;39;28917;222
633;39;28962;238
634;39;28978;272
635;39;29022;175
636;39;29096;190
637;39;29141;242
638;39;29186;242
639;39;29229;265
640;39;29273;185
641;39;29317;196
642;39;29330;178
643;39;29404;188
644;39;29418;256
645;39;29495;309
646;39;29543;345
647;39;29590;320
648;39;29637;286
649;39;29681;206
650;39;29726;183
651;39;29773;272
652;39;29788;183
653;39;29833;199
654;39;29908;231
655;39;29951;197
656;39;29995;190
657;39;30039;236
658;39;30082;190
659;39;30096;183
660;39;30169;231
661;39;30212;178
662;39;30256;165
663;39;30299;176
664;39;30345;225
665;39;30390;254
666;39;30437;264
667;39;30483;259
668;39;30527;190
669;39;30541;264
670;39;30615;270
671;39;30658;224
672;39;30702;183
673;39;30746;206
674;39;30789;197
675;39;30834;183
676;39;30878;185
677;39;30921;174
678;39;30965;206
679;39;30978;156
680;39;31022;231
681;39;31065;182
682;39;31141;200
683;39;31186;188
684;39;31229;304
685;39;31242;201
686;39;31287;250
687;39;31364;217
688;39;31408;240
689;39;31451;157
690;39;31495;206
691;39;31537;156
692;39;31581;205
693;39;31626;232
694;39;31672;208
695;39;31684;281
696;39;31729;183
697;39;31806;201
698;39;31820;252
699;39;31895;208
700;39;31906;231
701;39;31982;224
702;39;32028;228
703;39;32074;220
704;39;32119;240
705;39;32164;213
706;39;32209;249
707;39;32253;165
708;39;32264;191
709;39;32308;211
710;39;32383;191
711;39;32395;185
712;39;32438;193
713;39;32514;199
714;39;32559;238
715;39;32604;218
716;39;32650;293
717;39;32662;274
718;39;32740;209
719;39;32784;272
720;39;32829;175
721;39;32875;249
722;39;32921;206
