gen;best;avg;worst
501;8027;20544;31783
502;8027;20660;31328
503;8027;20672;32377
504;8027;20380;32532
505;8027;19657;30030
506;8027;19292;28840
507;8027;19596;29806
508;8027;20127;31319
509;8027;20422;32219
510;8027;21022;32822
511;8027;20930;32937
512;8027;20235;31561
513;8027;20331;32113
514;8027;20944;30927
515;8027;19643;30350
516;8027;20749;32087
517;8027;20308;31901
518;8027;19965;29642
519;8027;20637;31388
520;8027;20845;31711
521;8027;22265;32240
522;8027;21720;30932
523;8027;21856;33700
524;8027;23211;34177
525;8027;21370;33671
526;8027;20976;30646
527;8027;21437;30492
528;8027;21102;31108
529;8027;20349;30393
530;8027;20706;30507
531;8027;20382;33278
532;8027;20381;32364
533;8027;19948;31101
534;8027;21125;31280
535;8027;20820;31219
536;8027;20705;30365
537;8027;20055;29583
538;8027;20648;30422
539;8027;21584;30331
540;8027;21627;31263
541;8027;20273;30359
542;8027;20894;29918
543;8027;19926;29421
544;8027;21266;31437
545;8027;21918;31718
546;8027;22398;32674
547;8027;22355;32441
548;8027;22070;31128
549;8027;22536;32778
550;8027;21655;32800
551;8027;22301;32895
552;8027;20986;32598
553;8027;20970;30604
554;8027;20915;30143
555;8027;21376;32961
556;8027;21921;34605
557;8027;22245;33831
558;8027;21618;31764
559;8027;21546;32923
560;8027;22441;32813
561;8027;21472;31919
562;8027;21745;31812
563;8027;22537;33369
564;8027;22713;34088
565;8027;23011;33540
566;8027;23756;34004
567;8027;23159;33415
568;8027;23187;34425
569;8027;22604;34025
570;8027;21953;32951
571;8027;21302;31824
572;8027;21776;32123
573;8027;21782;32156
574;8027;21204;31227
575;8027;20698;30599
576;8027;21539;32092
577;8027;21856;33454
578;8027;21622;33385
579;8027;21262;32595
580;8027;21071;32232
581;8027;20863;30971
582;8027;21362;33076
583;8027;22177;33217
584;8027;20683;30977
585;8027;20760;31867
586;8027;22064;32553
587;8027;21944;31629
588;8027;21474;31341
589;8027;22254;32731
590;8027;22208;32368
591;8027;22882;33000
592;8027;22986;33204
593;8027;22939;33285
594;8027;22306;33329
595;8027;22489;32206
596;8027;22957;32751
597;8027;22087;32429
598;8027;22482;32677
599;8027;22795;32833
600;8027;23328;33224
601;8027;24171;33575
602;8027;22918;32759
603;8027;23079;32608
604;8027;22022;32324
605;8027;21469;31535
606;8027;21637;30713
607;8027;20845;30009
608;8027;20983;31260
609;8027;20963;30785
610;8027;20871;30489
611;8027;20759;31940
612;8027;21155;31510
613;8027;21918;31990
614;8027;22382;32783
615;8027;21726;32483
616;8027;21503;31665
617;8027;21069;30527
618;8027;21781;30527
619;8027;22144;31181
620;8027;21477;30225
621;8027;20918;31195
622;8027;21045;29588
623;8027;21986;30461
624;8027;22237;31473
625;8027;22460;33844
626;8027;22537;33428
627;8027;22523;33660
628;8027;22890;34204
629;8027;22445;33975
630;8027;21842;32119
631;8027;21592;32302
632;8027;22202;32773
633;8027;22586;32041
634;8027;22703;32738
635;8027;22021;32800
636;8027;21521;31101
637;8027;21676;31694
638;8027;21170;31217
639;8027;21533;31096
640;8027;20901;29119
641;8027;22753;31390
642;8027;22219;30605
643;8027;22178;31686
644;8027;22250;31640
645;8027;22235;31268
646;8027;23285;33576
647;8027;22841;33556
